cell.id,area,gfpMeanBgAFsub,mcherryMeanBgAFsub,degron,red,treatment,experiment,exp.field,Elip_B,Elip_C,no.of.voxels,pos.x,pos.y,spheracity,volume,area.puncta,pos.x.puncta,pos.y.puncta,rfp.mean.bg.sub,dapi.mean.bg.sub,rfp.mean.bg.sub.puncta,dapi.mean.bg.sub.puncta,no.bud.scars
1000002015_20min_s6_mODC.3_tef2-mCherry_none,5572.86,442.91004444444457,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,29.974,35.6076,2676,453.842,801.578,0.260849,5211.66,NA,NA,NA,561.648,1390.89425,NA,NA,0
1000002016_20min_s6_mODC.3_tef2-mCherry_none,3986.35,98.73304444444446,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,25.8258,29.4216,1899,1152.41,98.8244,0.289294,3682.52,69.7186,1135.89,115.239,505.9740000000001,843.01425,363.476,1221.83425,2
1000002017_20min_s6_mODC.3_tef2-mCherry_none,2488.53,68.91904444444444,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,19.169,24.6118,1169,578.852,662.571,0.332928,2242.41,NA,NA,NA,506.173,1022.65425,NA,NA,0
1000002019_20min_s6_mODC.3_tef2-mCherry_none,748.274,462.08404444444454,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,7.67435,17.815,319,198.124,1034.59,0.462123,604.646,325.216,200.08,1029.69,603.298,1468.70425,538.253,2062.83425,1
1000002020_20min_s6_mODC.3_tef2-mCherry_none,3153,69.51904444444446,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,21.6222,27.8295,1493,637.4,616.38,0.310267,2877.15,NA,NA,NA,577.6840000000001,1148.35425,NA,NA,0
1000002023_20min_s6_mODC.3_tef2-mCherry_none,1076.7,117.78004444444444,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,13.3644,14.7128,493,229.946,1005.38,0.426719,926.035,NA,NA,NA,549.0160000000001,1007.04425,NA,NA,0
1000002024_20min_s6_mODC.3_tef2-mCherry_none,3020.25,84.46704444444444,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,21.0629,27.0952,1429,1054.36,202.716,0.314666,2754.95,133.298,1057.85,224.935,477.04100000000005,887.96425,428.215,1234.14425,3
1000002025_20min_s6_mODC.3_tef2-mCherry_none,2937.84,115.85304444444446,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,22.7337,24.4394,1392,500.702,759.234,0.317739,2681.78,NA,NA,NA,563.994,405.66025,NA,NA,0
1000002026_20min_s6_mODC.3_tef2-mCherry_none,2668.95,124.09304444444442,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,22.0334,22.8689,1259,563.247,695.073,0.326671,2420.75,236.999,569.687,708.335,523.754,744.8442500000001,514.25,1399.34425,1
1000002027_20min_s6_mODC.3_tef2-mCherry_none,2485.91,70.45104444444442,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,20.615,22.7283,1172,997.179,261.401,0.334037,2250.06,NA,NA,NA,449.908,278.11625000000004,NA,NA,0
1000002028_20min_s6_mODC.3_tef2-mCherry_none,2273.38,313.66404444444436,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,19.8518,21.4606,1068,407.706,850.708,0.342949,2047.03,NA,NA,NA,597.788,778.3042499999999,NA,NA,0
1000002029_20min_s6_mODC.3_tef2-mCherry_none,902.522,150.95104444444442,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,12.4683,13.251,409,380.114,865.106,0.447417,763.007,NA,NA,NA,425.1310000000001,698.74425,NA,NA,0
1000002030_20min_s6_mODC.3_tef2-mCherry_none,1391.91,33.11004444444441,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,14.8765,17.2839,643,791.738,459.991,0.396198,1217.75,NA,NA,NA,490.365,345.32124999999996,NA,NA,0
1000002031_20min_s6_mODC.3_tef2-mCherry_none,1909.45,46.702044444444454,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,17.1815,20.6891,892,1091.09,170.348,0.361222,1703.32,214.828,1098.95,187.393,483.9290000000001,390.36225,426.942,1190.63425,1
1000002032_20min_s6_mODC.3_tef2-mCherry_none,2967.33,62.30804444444445,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,22.1024,25.415,1405,1080.77,116.523,0.316547,2706.95,NA,NA,NA,415.18000000000006,463.91025,NA,NA,0
1000002033_20min_s6_mODC.3_tef2-mCherry_none,2694.74,163.03204444444444,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,21.4316,23.7219,1272,475.202,723.348,0.32593,2447.58,NA,NA,NA,555.4000000000001,374.81325,NA,NA,0
1000002034_20min_s6_mODC.3_tef2-mCherry_none,3841.37,70.29404444444444,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,26.7348,27.3351,1830,510.91,698.608,0.292755,3546.18,403.888,527.584,710.488,517.2230000000001,783.8042499999999,481.259,2129.5342499999997,1
1000002035_20min_s6_mODC.3_tef2-mCherry_none,2807.43,15.327044444444454,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,22.0127,24.0974,1327,688.321,517.969,0.321805,2553.43,NA,NA,NA,357.2030000000001,346.11725,NA,NA,0
